Poster_Link,Series_Title,Released_Year,Certificate,Runtime,Genre,IMDB_Rating,Overview,Meta_score,Director,Star1,Star2,Star3,Star4,No_of_Votes,Gross
"https://m.media-amazon.com/images/M/MV5BZWE4N2JkNDUtZDU4MC00ZjNhLTlkMjYtOTNkMjZhMDAwMDMyXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_UX67_CR0,0,67,98_AL_.jpg",All That Jazz,1979,A,123 min,"Drama, Music, Musical",7.9,"Director/choreographer Bob Fosse tells his own life story as he details the sordid career of Joe Gideon, a womanizing, drug-using dancer.",72.0,Bob Fosse,Roy Scheider,Jessica Lange,Ann Reinking,Leland Palmer,28223,"37,823,676"
"https://m.media-amazon.com/images/M/MV5BMzc1YTIyNjctYzhlNy00ZmYzLWI2ZWQtMzk4MmQwYzA0NGQ1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg",Dawn of the Dead,1978,A,127 min,"Action, Adventure, Horror",7.9,"Following an ever-growing epidemic of zombies that have risen from the dead, two Philadelphia S.W.A.T. team members, a traffic reporter, and his television executive girlfriend seek refuge in a secluded shopping mall.",71.0,George A. Romero,David Emge,Ken Foree,Scott H. Reiniger,Gaylen Ross,111512,"5,100,000"
"https://m.media-amazon.com/images/M/MV5BOWI2YWQxM2MtY2U4Yi00YjgzLTgwNzktN2ExNTgzNTIzMmUzXkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_UX67_CR0,0,67,98_AL_.jpg",All the President's Men,1976,U,138 min,"Biography, Drama, History",7.9,"""The Washington Post"" reporters Bob Woodward and Carl Bernstein uncover the details of the Watergate scandal that leads to President Richard Nixon's resignation.",84.0,Alan J. Pakula,Dustin Hoffman,Robert Redford,Jack Warden,Martin Balsam,103031,"70,600,000"
"https://m.media-amazon.com/images/M/MV5BN2IzM2I5NTQtMTIyMy00YWM2LWI1OGMtNjI0MWIyNDZkZGFkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg",La montaña sagrada,1973,R,114 min,"Adventure, Drama, Fantasy",7.9,"In a corrupt, greed-fueled world, a powerful alchemist leads a messianic character and seven materialistic figures to the Holy Mountain, where they hope to achieve enlightenment.",76.0,Alejandro Jodorowsky,Alejandro Jodorowsky,Horacio Salinas,Zamira Saunders,Juan Ferrara,37183,"61,001"
"https://m.media-amazon.com/images/M/MV5BZDI2OTg2NDQtMzc0MC00MjRiLWI1NzAtMjY2ZDMwMmUyNzBiXkEyXkFqcGdeQXVyNzM0MTUwNTY@._V1_UX67_CR0,0,67,98_AL_.jpg",Amarcord,1973,R,123 min,"Comedy, Drama, Family",7.9,A series of comedic and nostalgic vignettes set in a 1930s Italian coastal town.,,Federico Fellini,Magali Noël,Bruno Zanin,Pupella Maggio,Armando Brancia,39897,
"https://m.media-amazon.com/images/M/MV5BYzQ5NjJiYWQtYjAzMC00NGU0LWFlMDYtNGFiYjFlMWI1NWM0XkEyXkFqcGdeQXVyODQ0OTczOQ@@._V1_UY98_CR4,0,67,98_AL_.jpg",Le charme discret de la bourgeoisie,1972,PG,102 min,Comedy,7.9,"A surreal, virtually plotless series of dreams centered around six middle-class people and their consistently interrupted attempts to have a meal together.",93.0,Luis Buñuel,Fernando Rey,Delphine Seyrig,Paul Frankeur,Bulle Ogier,38737,"198,809"
"https://m.media-amazon.com/images/M/MV5BMjRkY2VhYzMtZWQyNS00OTY2LWE5NTAtYjlhNmQyYzE5MmUxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg","Aguirre, der Zorn Gottes",1972,,95 min,"Action, Adventure, Biography",7.9,"In the 16th century, the ruthless and insane Don Lope de Aguirre leads a Spanish expedition in search of El Dorado.",,Werner Herzog,Klaus Kinski,Ruy Guerra,Helena Rojo,Del Negro,52397,
"https://m.media-amazon.com/images/M/MV5BY2M5Mzg3NjctZTlkNy00MTU0LWFlYTQtY2E2Y2M4NjNiNzllXkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_UX67_CR0,0,67,98_AL_.jpg",Harold and Maude,1971,PG,91 min,"Comedy, Drama, Romance",7.9,"Young, rich, and obsessed with death, Harold finds himself changed forever when he meets lively septuagenarian Maude at a funeral.",62.0,Hal Ashby,Ruth Gordon,Bud Cort,Vivian Pickles,Cyril Cusack,70826,
"https://m.media-amazon.com/images/M/MV5BMmNhZmJhMmYtNjlkMC00MjhjLTk1NzMtMTNlMzYzNjZlMjNiXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg",Patton,1970,U,172 min,"Biography, Drama, War",7.9,The World War II phase of the career of controversial American general George S. Patton.,91.0,Franklin J. Schaffner,George C. Scott,Karl Malden,Stephen Young,Michael Strong,93741,"61,700,000"
"https://m.media-amazon.com/images/M/MV5BNGUyYTZmOWItMDJhMi00N2IxLWIyNDMtNjUxM2ZiYmU5YWU1XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX67_CR0,0,67,98_AL_.jpg",The Wild Bunch,1969,A,145 min,"Action, Adventure, Western",7.9,"An aging group of outlaws look for one last big score as the ""traditional"" American West is disappearing around them.",97.0,Sam Peckinpah,William Holden,Ernest Borgnine,Robert Ryan,Edmond O'Brien,77401,"12,064,472"
"https://m.media-amazon.com/images/M/MV5BMzRmN2E1ZDUtZDc2ZC00ZmI3LTkwOTctNzE2ZDIzMGJiMTYzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg",Night of the Living Dead,1968,,96 min,"Horror, Thriller",7.9,A ragtag group of Pennsylvanians barricade themselves in an old farmhouse to remain safe from a horde of flesh-eating ghouls that are ravaging the East Coast of the United States.,89.0,George A. Romero,Duane Jones,Judith O'Dea,Karl Hardman,Marilyn Eastman,116557,"89,029"
"https://m.media-amazon.com/images/M/MV5BMTkzNzYyMzA5N15BMl5BanBnXkFtZTgwODcwODQ3MDI@._V1_UX67_CR0,0,67,98_AL_.jpg",The Lion in Winter,1968,PG,134 min,"Biography, Drama, History",7.9,"1183 A.D.: King Henry II's three sons all want to inherit the throne, but he won't commit to a choice. They and his wife variously plot to force him.",,Anthony Harvey,Peter O'Toole,Katharine Hepburn,Anthony Hopkins,John Castle,29003,"22,276,975"
"https://m.media-amazon.com/images/M/MV5BZjZhZTZkNWItZGE1My00MTRkLWI2ZDktMWZkZTIxZWYxOTgzXkEyXkFqcGdeQXVyNDY2MTk1ODk@._V1_UX67_CR0,0,67,98_AL_.jpg",In the Heat of the Night,1967,U,110 min,"Crime, Drama, Mystery",7.9,A black police detective is asked to investigate a murder in a racially hostile southern town.,75.0,Norman Jewison,Sidney Poitier,Rod Steiger,Warren Oates,Lee Grant,67804,"24,379,978"
"https://m.media-amazon.com/images/M/MV5BMTA0Y2UyMDUtZGZiOS00ZmVkLTg3NmItODQyNTY1ZjU1MWE4L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX67_CR0,0,67,98_AL_.jpg",Charade,1963,U,113 min,"Comedy, Mystery, Romance",7.9,Romance and suspense ensue in Paris as a woman is pursued by several men who want a fortune her murdered husband had stolen. Whom can she trust?,83.0,Stanley Donen,Cary Grant,Audrey Hepburn,Walter Matthau,James Coburn,68689,"13,474,588"
"https://m.media-amazon.com/images/M/MV5BOTY0ZTA1ZjUtN2MyNi00ZGRmLWExYmMtOTkyNzI1NGQ2Y2RlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX67_CR0,0,67,98_AL_.jpg",The Manchurian Candidate,1962,PG-13,126 min,"Drama, Thriller",7.9,A former prisoner of war is brainwashed as an unwitting assassin for an international Communist conspiracy.,94.0,John Frankenheimer,Frank Sinatra,Laurence Harvey,Janet Leigh,Angela Lansbury,71122,
"https://m.media-amazon.com/images/M/MV5BMjc4MTUxN2UtMmU1NC00MjQyLTk3YTYtZTQ0YzEzZDc0Njc0XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX67_CR0,0,67,98_AL_.jpg",Spartacus,1960,A,197 min,"Adventure, Biography, Drama",7.9,The slave Spartacus leads a violent revolt against the decadent Roman Republic.,87.0,Stanley Kubrick,Kirk Douglas,Laurence Olivier,Jean Simmons,Charles Laughton,124339,"30,000,000"
